id,pub_date,is_bestseller,slug,title,image,description,price,discount,bought,in_cart,postponed
35,2022-05-04,1,book-fil-889,Halloweentown High,http://dummyimage.com/593x458.png/5fa2dd/ffffff,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",2977,0.9,558.6,417.6,247.3
36,2021-04-18,1,book-rzy-070,Klute,http://dummyimage.com/303x449.png/ff4444/ffffff,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.",2969,0.4,963.6,73.0,179.4
37,2022-06-13,0,book-uwy-292,Believe Me,http://dummyimage.com/652x671.png/5fa2dd/ffffff,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue. Vestibulum rutrum rutrum neque.",1354,0.7,941.0,151.4,89.5
38,2021-03-17,0,book-kqw-720,"Kings of Mykonos, The",http://dummyimage.com/458x693.png/ff4444/ffffff,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",1610,0.0,908.4,194.8,153.0
39,2021-11-29,1,book-njd-223,Party Girl,http://dummyimage.com/727x488.png/ff4444/ffffff,"Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",2213,0.9,402.3,359.7,49.3
40,2023-04-16,0,book-zes-225,Manson,http://dummyimage.com/640x702.png/5fa2dd/ffffff,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.",1688,0.2,361.2,64.4,238.4
41,2023-05-11,0,book-kxu-330,Christmas with the Kranks,http://dummyimage.com/756x402.png/ff4444/ffffff,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",2272,0.2,884.5,300.4,33.2
42,2021-08-28,0,book-wcd-769,World War II: When Lions Roared,http://dummyimage.com/564x281.png/ff4444/ffffff,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1974,0.3,968.2,63.6,223.0
43,2022-01-15,1,book-vwp-690,"Message to Garcia, A",http://dummyimage.com/319x584.png/cc0000/ffffff,"Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",1118,0.3,823.7,60.9,143.3
44,2022-12-15,1,book-sqv-750,Destination Gobi,http://dummyimage.com/529x510.png/5fa2dd/ffffff,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1585,0.3,721.9,376.2,240.7
45,2023-04-25,1,book-dls-531,"Land Before Time, The",http://dummyimage.com/597x599.png/ff4444/ffffff,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2600,0.8,442.7,221.0,75.8
46,2021-06-01,0,book-iqq-180,Johnny Dangerously,http://dummyimage.com/784x537.png/5fa2dd/ffffff,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",905,0.3,503.3,379.5,171.4
47,2021-11-22,0,book-ngk-325,Fatty Drives the Bus,http://dummyimage.com/453x344.png/cc0000/ffffff,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",1594,0.8,681.9,89.8,77.9
48,2021-08-20,1,book-jmj-369,Age of the Dragons,http://dummyimage.com/378x338.png/ff4444/ffffff,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",857,0.1,514.2,374.1,154.3
49,2021-06-07,0,book-fyw-987,Robinson Crusoe on Mars,http://dummyimage.com/448x614.png/5fa2dd/ffffff,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,2808,0.9,488.3,211.8,226.7
50,2022-06-16,0,book-ewc-410,"Funny Man, A (Dirch)",http://dummyimage.com/757x365.png/5fa2dd/ffffff,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",2312,0.2,688.2,339.1,78.5
51,2020-12-03,0,book-hku-673,Trekkies 2,http://dummyimage.com/543x562.png/ff4444/ffffff,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1929,0.6,492.6,416.2,27.0
52,2022-04-01,0,book-fdd-695,Sybil,http://dummyimage.com/607x373.png/cc0000/ffffff,"Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.",2101,0.5,282.8,357.8,107.7
53,2021-06-16,0,book-ljf-955,The African,http://dummyimage.com/413x437.png/cc0000/ffffff,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",894,0.1,267.1,277.1,177.8
54,2021-06-13,0,book-keb-666,Lone Wolf McQuade,http://dummyimage.com/445x355.png/dddddd/000000,"Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",2127,0.6,789.0,123.7,143.4
55,2021-03-11,1,book-ywg-309,Ticked-Off Trannies with Knives,http://dummyimage.com/271x754.png/5fa2dd/ffffff,"Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",717,1.0,355.4,298.5,71.9
56,2021-02-16,1,book-mxj-838,Pat and Mike,http://dummyimage.com/370x626.png/ff4444/ffffff,"Nunc purus. Phasellus in felis. Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1734,0.8,349.2,77.0,62.9
57,2020-12-04,0,book-mfj-691,Just Around the Corner,http://dummyimage.com/665x676.png/5fa2dd/ffffff,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",1898,0.2,598.6,207.5,234.2
58,2021-07-01,1,book-cuo-664,One Last Hug,http://dummyimage.com/488x687.png/ff4444/ffffff,"Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1203,0.7,870.9,415.7,150.1
59,2021-03-26,0,book-mdy-102,Resistance,http://dummyimage.com/323x378.png/cc0000/ffffff,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1399,0.8,243.0,173.6,118.1
60,2021-03-19,1,book-jrf-133,"Punk Singer, The",http://dummyimage.com/659x669.png/ff4444/ffffff,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",625,0.2,421.3,204.5,76.0
61,2021-10-20,1,book-daj-998,Million Dollar Mystery,http://dummyimage.com/359x375.png/ff4444/ffffff,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,827,1.0,687.3,378.6,217.0
62,2022-12-21,1,book-rrf-614,Dante's Peak,http://dummyimage.com/294x348.png/ff4444/ffffff,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2252,0.7,862.0,343.8,140.9
63,2021-04-21,0,book-bpw-874,Prinsessa Ruusunen,http://dummyimage.com/360x638.png/cc0000/ffffff,"Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1518,0.2,504.7,142.9,29.0
64,2021-01-24,1,book-blf-073,Double Whammy,http://dummyimage.com/453x371.png/dddddd/000000,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1980,0.1,922.1,200.6,72.3
65,2022-11-01,0,book-oue-408,3:10 to Yuma,http://dummyimage.com/280x655.png/dddddd/000000,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,1868,0.7,831.0,479.6,117.2
66,2022-12-29,0,book-laj-254,José and Pilar (José e Pilar),http://dummyimage.com/256x514.png/5fa2dd/ffffff,"Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",2103,0.6,774.2,464.3,216.5
67,2020-10-15,1,book-qbk-637,"Quiet Room, The",http://dummyimage.com/656x386.png/5fa2dd/ffffff,"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",2916,0.1,546.7,451.1,96.6
68,2021-03-26,1,book-zrn-004,Seoul Searching,http://dummyimage.com/674x469.png/ff4444/ffffff,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.",2014,0.9,240.3,314.6,157.0
69,2020-11-16,0,book-lsk-584,Dr. Akagi (Kanzo sensei),http://dummyimage.com/694x641.png/ff4444/ffffff,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",1408,0.0,980.9,130.1,65.6
70,2021-07-20,0,book-vyu-507,Ninja,http://dummyimage.com/672x318.png/dddddd/000000,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.",512,0.7,585.1,429.0,230.4
71,2021-03-06,1,book-bsx-026,Land of Milk and Honey (Pays de cocagne),http://dummyimage.com/590x700.png/5fa2dd/ffffff,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",2810,0.7,646.4,326.8,232.5
72,2020-12-15,1,book-ljx-831,"Librarian: Quest for the Spear, The",http://dummyimage.com/278x538.png/cc0000/ffffff,"Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",721,0.8,922.6,487.1,197.5
73,2020-09-19,0,book-cqh-733,Unbeatable (Ji zhan),http://dummyimage.com/770x416.png/cc0000/ffffff,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,698,0.4,957.5,110.1,75.3
