id,book_id,genre_id
411,411,23
412,412,2
413,413,9
414,414,35
415,415,8
416,416,36
417,417,2
418,418,5
419,419,14
420,420,29
421,421,29
422,422,2
423,423,9
424,424,9
425,425,21
426,426,3
427,427,31
428,428,43
429,429,21
430,430,6
431,431,27
432,432,39
433,433,2
434,434,25
435,435,35
436,436,11
437,437,16
438,438,30
439,439,37
440,440,39
441,441,7
442,442,45
443,443,12
444,444,45
445,445,3
446,446,35
447,447,36
448,448,30
449,449,3
450,450,23
451,451,8
452,452,23
453,453,29
454,454,22
455,455,9
456,456,25
457,457,27
458,458,11
459,459,26
460,460,23
461,461,45
462,462,5
463,463,45
464,464,44
465,465,29
466,466,20
467,467,41
468,468,25
469,469,27
470,470,33
471,471,15
472,472,35
473,473,39
474,474,2
475,475,9
476,476,35
477,477,6
478,478,7
479,479,28
480,480,32
481,481,45
482,482,35
483,483,25
484,484,23
485,485,33
486,486,20
487,487,27
488,488,2
489,489,18
490,490,45
491,491,3
492,492,5
493,493,25
494,494,26
495,495,44
496,496,31
497,497,7
498,498,32
499,499,22
500,500,11
501,501,12
502,502,32
503,503,12
504,504,45
505,505,7
506,506,21
507,507,30
508,508,16
509,509,22
510,510,8
511,511,33
512,512,16
513,513,11
514,514,43
515,515,25
516,516,23
517,517,25
518,518,31
519,519,39
520,520,30
521,521,25
522,522,39
523,523,6
524,524,33
525,525,37
526,526,28
527,527,27
528,528,40
529,529,41
530,530,14
531,531,8
532,532,42
533,533,34
534,534,40
535,535,15
536,536,14
537,537,43
538,538,42
539,539,44
540,540,42
541,541,41
542,542,10
543,543,9
544,544,5
545,545,10
546,546,11
547,547,44
548,548,11
549,549,14
550,550,6
551,551,18
552,552,28
553,553,13
554,554,6
555,555,9
556,556,9
557,557,23
558,558,11
559,559,2
560,560,34
561,561,22
562,562,10
563,563,8
564,564,10
565,565,26
566,566,8
567,567,20
568,568,39
569,569,13
570,570,7
571,571,16
572,572,28
573,573,38
574,574,9
575,575,14
576,576,16
577,577,5
578,578,12
579,579,22
580,580,31
581,581,18
582,582,10
583,583,30
584,584,41
585,585,13
586,586,27
587,587,15
588,588,22
589,589,2
590,590,28
591,591,33
592,592,12
593,593,18
594,594,14
595,595,45
596,596,44
597,597,22
598,598,34
599,599,15
600,600,45
601,601,22
602,602,45
603,603,43
604,604,2
605,605,42
606,606,18
607,607,20
608,608,13
609,609,18
610,610,30
611,611,35
612,612,9
613,613,42
614,614,14
615,615,14
616,616,34
617,617,8
618,618,22
619,619,22
620,620,18
621,621,27
622,622,30
623,623,25
624,624,40
625,625,18
626,626,41
627,627,18
628,628,13
629,629,45
630,630,34
631,631,41
632,632,10
633,633,35
634,634,29
635,635,21
636,636,16
637,637,22
638,638,26
639,639,10
640,640,11
641,641,12
642,642,15
643,643,32
644,644,13
645,645,23
646,646,14
647,647,15
648,648,29
649,649,35
650,650,37
651,651,44
652,652,13
653,653,15
654,654,10
655,655,13
656,656,40
657,657,23
658,658,40
659,659,34
660,660,31
661,661,42
662,662,25
663,663,9
664,664,12
665,665,11
666,666,28
667,667,12
668,668,15
669,669,23
670,670,11
671,671,2
672,672,12
673,673,21
674,674,44
675,675,16
676,676,7
677,677,26
678,678,22
679,679,32
680,680,28
681,681,21
682,682,15
683,683,5
684,684,3
685,685,13
686,686,21
687,687,41
688,688,3
689,689,26
690,690,40
691,691,20
692,692,39
693,693,41
694,694,18
695,695,12
696,696,45
697,697,22
698,698,29
699,699,25
700,700,44
701,701,36
702,702,13
703,703,43
704,704,30
705,705,38
706,706,29
707,707,14
708,708,22
709,709,28
710,710,2
711,711,28
712,712,39
713,713,22
714,714,21
715,715,42
716,716,22
717,717,20
718,718,10
719,719,39
720,720,26
721,721,21
722,722,27
723,723,27
724,724,27
725,725,30
726,726,15
727,727,31
728,728,28
729,729,44
730,730,30
731,731,11
732,732,25
733,733,38
734,734,29
735,735,22
736,736,26
737,737,44
738,738,43
739,739,12
740,740,6
741,741,42
742,742,40
743,743,29
744,744,26
745,745,8
746,746,37
747,747,39
748,748,27
749,749,15
750,750,32
751,751,37
752,752,32
753,753,5
754,754,30
755,755,39
756,756,12
757,757,8
758,758,29
759,759,14
760,760,14
761,761,36
762,762,16
763,763,31
764,764,20
765,765,5
766,766,30
767,767,9
768,768,39
769,769,44
770,770,35
771,771,23
772,772,23
773,773,32
774,774,6
775,775,23
776,776,6
777,777,5
778,778,44
779,779,3
780,780,33
781,781,18
782,782,12
783,783,34
784,784,6
785,785,28
786,786,39
787,787,35
788,788,33
789,789,33
790,790,34
791,791,15
792,792,25
793,793,23
794,794,26
795,795,33
796,796,41
797,797,10
798,798,31
799,799,30
800,800,44
801,801,32
802,802,34
803,803,34
804,804,44
805,805,2
806,806,45
807,807,42
808,808,42
809,809,31
810,810,6
811,811,9
812,812,8
813,813,32
814,814,13
815,815,40
816,816,38
817,817,37
818,818,31
819,819,18
820,820,35
821,821,15
822,822,26
823,823,15
824,824,34
825,825,7
826,826,9
827,827,18
828,828,13
829,829,41
830,830,25
831,831,37
832,832,9
833,833,15
834,834,31
835,835,22
836,836,40
837,837,13
838,838,13
839,839,18
840,840,16
841,841,35
842,842,28
843,843,33
844,844,6
845,845,39
846,846,40
847,847,5
848,848,40
849,849,10
850,850,7
851,851,40
852,852,22
853,853,8
854,854,13
855,855,38
856,856,23
857,857,43
858,858,27
859,859,27
860,860,25
861,861,43
862,862,45
863,863,37
864,864,34
865,865,12
866,866,14
867,867,20
868,868,40
869,869,7
870,870,39
871,871,42
872,872,2
873,873,38
874,874,14
875,875,32
876,876,30
877,877,38
878,878,33
879,879,21
880,880,22
881,881,22
882,882,11
883,883,15
884,884,37
885,885,2
886,886,39
887,887,35
888,888,9
889,889,13
890,890,10
891,891,9
892,892,11
893,893,31
894,894,16
895,895,23
896,896,33
897,897,44
898,898,29
899,899,28
900,900,16
901,901,32
902,902,10
903,903,44
904,904,15
905,905,10
906,906,7
907,907,10
908,908,44
909,909,31
910,910,12
911,911,23
912,912,29
913,913,25
914,914,41
915,915,33
916,916,5
917,917,6
918,918,8
919,919,13
920,920,16
921,921,41
922,922,15
923,923,3
924,924,9
925,925,28
926,926,21
927,927,15
928,928,37
929,929,41
930,930,38
931,931,2
932,932,25
933,933,5
934,934,40
935,935,29
936,936,32
937,937,35
938,938,32
939,939,11
940,940,42
941,941,36
942,942,36
943,943,25
944,944,33
945,945,13
946,946,15
947,947,22
948,948,45
949,949,45
950,950,23
951,951,27
952,952,33
953,953,23
954,954,7
955,955,20
956,956,2
957,957,40
958,958,12
959,959,37
960,960,8
961,961,16
962,962,2
963,963,25
964,964,33
965,965,7
966,966,23
967,967,12
968,968,11
969,969,21
970,970,42
971,971,9
972,972,23
973,973,6
974,974,23
975,975,14
976,976,25
977,977,42
978,978,41
979,979,36
980,980,12
981,981,25
982,982,21
983,983,3
984,984,18
985,985,30
986,986,31
987,987,21
988,988,2
989,989,29
990,990,40
991,991,11
992,992,16
993,993,42
994,994,33
995,995,33
996,996,13
997,997,6
998,998,30
999,999,34
1000,1000,28
