id,book_id,author_id,sort_index
292,292,47,35
293,293,29,36
294,294,44,43
295,295,28,19
296,296,31,24
297,297,5,30
298,298,27,4
299,299,10,33
300,300,50,11
301,301,17,18
302,302,32,2
303,303,20,44
304,304,9,34
305,305,46,47
306,306,16,38
307,307,18,32
308,308,23,31
309,309,19,16
310,310,42,12
311,311,18,19
312,312,26,30
313,313,21,5
314,314,19,5
315,315,15,50
316,316,41,17
317,317,47,26
318,318,42,9
319,319,39,41
320,320,46,12
321,321,39,15
322,322,7,16
323,323,13,40
324,324,15,45
325,325,47,21
326,326,20,31
327,327,6,11
328,328,49,15
329,329,4,37
330,330,5,8
331,331,7,19
332,332,6,13
333,333,35,6
334,334,5,18
335,335,31,36
336,336,19,17
337,337,3,39
338,338,16,34
339,339,47,17
340,340,18,49
341,341,18,5
342,342,8,31
343,343,32,31
344,344,36,36
345,345,42,41
346,346,7,20
347,347,45,33
348,348,46,28
349,349,43,4
350,350,29,29
351,351,10,27
352,352,3,27
353,353,7,5
354,354,46,19
355,355,48,2
356,356,41,3
357,357,45,38
358,358,24,9
359,359,8,49
360,360,40,42
361,361,20,14
362,362,49,32
363,363,33,23
364,364,8,41
365,365,3,19
366,366,25,28
367,367,9,36
368,368,16,46
369,369,22,1
370,370,6,4
371,371,49,11
372,372,20,34
373,373,5,37
374,374,48,43
375,375,42,19
376,376,49,40
377,377,14,8
378,378,41,24
379,379,47,45
380,380,31,21
381,381,15,15
382,382,32,14
383,383,4,20
384,384,48,26
385,385,22,43
386,386,39,39
387,387,1,37
388,388,10,2
389,389,45,31
390,390,12,46
391,391,16,24
392,392,15,23
393,393,5,18
394,394,29,18
395,395,8,19
396,396,36,27
397,397,13,27
398,398,11,39
399,399,9,30
400,400,44,14
401,401,21,23
402,402,32,1
403,403,41,23
404,404,34,11
405,405,34,11
406,406,12,14
407,407,20,32
408,408,4,11
409,409,50,8
410,410,22,5
411,411,19,28
412,412,18,41
413,413,48,48
414,414,41,41
415,415,34,48
416,416,28,28
417,417,5,4
418,418,6,22
419,419,33,30
420,420,26,26
421,421,43,18
422,422,28,5
423,423,12,28
424,424,25,39
425,425,46,32
426,426,19,18
427,427,34,36
428,428,18,42
429,429,29,16
430,430,24,36
431,431,37,18
432,432,17,11
433,433,35,35
434,434,9,21
435,435,7,39
436,436,13,27
437,437,27,10
438,438,26,7
439,439,45,37
440,440,43,26
441,441,33,8
442,442,16,14
443,443,37,3
444,444,35,28
445,445,46,19
446,446,38,7
447,447,15,37
448,448,47,30
449,449,26,35
450,450,29,22
451,451,6,15
452,452,44,29
453,453,13,4
454,454,39,2
455,455,23,38
456,456,17,9
457,457,31,30
458,458,31,38
459,459,9,42
460,460,23,5
461,461,39,5
462,462,4,37
463,463,26,3
464,464,31,42
465,465,10,48
466,466,33,9
467,467,28,13
468,468,38,3
469,469,3,2
470,470,13,47
471,471,33,3
472,472,3,11
473,473,34,2
474,474,7,36
475,475,36,45
476,476,33,33
477,477,35,32
478,478,27,17
479,479,22,17
480,480,49,19
481,481,47,35
482,482,4,28
483,483,33,1
484,484,6,34
485,485,18,14
486,486,14,34
487,487,40,23
488,488,8,24
489,489,35,47
490,490,24,35
491,491,46,39
492,492,6,20
493,493,8,18
494,494,8,49
495,495,11,11
496,496,32,42
497,497,21,40
498,498,16,21
499,499,31,29
500,500,33,4
501,501,10,7
502,502,10,13
503,503,3,12
504,504,50,19
505,505,4,39
506,506,49,20
507,507,41,30
508,508,21,33
509,509,29,46
510,510,11,38
511,511,3,8
512,512,31,34
513,513,38,2
514,514,50,35
515,515,21,9
516,516,41,18
517,517,45,36
518,518,9,12
519,519,45,10
520,520,4,28
521,521,17,4
522,522,8,3
523,523,37,41
524,524,29,46
525,525,37,16
526,526,15,27
527,527,46,17
528,528,25,10
529,529,39,44
530,530,19,12
531,531,37,21
532,532,36,41
533,533,14,50
534,534,24,40
535,535,24,38
536,536,30,14
537,537,10,2
538,538,10,19
539,539,9,50
540,540,29,11
541,541,46,28
542,542,4,14
543,543,28,12
544,544,7,43
545,545,23,41
546,546,24,2
547,547,42,34
548,548,32,41
549,549,47,38
550,550,20,41
551,551,36,32
552,552,5,33
553,553,24,34
554,554,31,29
555,555,20,14
556,556,33,50
557,557,24,38
558,558,47,32
559,559,6,42
560,560,27,2
561,561,1,5
562,562,36,44
563,563,32,33
564,564,16,3
565,565,4,13
566,566,5,41
567,567,18,21
568,568,33,15
569,569,20,46
570,570,6,11
571,571,10,42
572,572,30,27
573,573,19,26
574,574,43,26
575,575,25,42
576,576,25,33
577,577,36,9
578,578,4,13
579,579,1,30
580,580,17,23
581,581,39,25
582,582,2,39
583,583,20,30
584,584,23,42
585,585,12,48
586,586,11,3
587,587,17,6
588,588,10,27
589,589,3,25
590,590,45,45
591,591,34,40
592,592,23,49
593,593,9,36
594,594,21,34
595,595,49,13
596,596,33,28
597,597,15,42
598,598,36,3
599,599,9,33
600,600,4,8
601,601,49,5
602,602,9,7
603,603,5,47
604,604,44,43
605,605,44,35
606,606,8,48
607,607,34,48
608,608,5,46
609,609,10,31
610,610,45,39
611,611,48,24
612,612,6,24
613,613,18,11
614,614,5,44
615,615,49,20
616,616,9,45
617,617,28,34
618,618,48,23
619,619,49,25
620,620,10,11
621,621,10,26
622,622,38,13
623,623,2,31
624,624,29,46
625,625,3,10
626,626,6,45
627,627,2,28
628,628,39,15
629,629,41,37
630,630,3,7
631,631,41,26
632,632,1,35
633,633,24,17
634,634,5,26
635,635,26,37
636,636,49,46
637,637,21,44
638,638,26,3
639,639,28,14
640,640,34,46
641,641,4,36
642,642,6,24
643,643,15,26
644,644,34,25
645,645,38,42
646,646,47,45
647,647,38,47
648,648,9,11
649,649,41,41
650,650,31,7
651,651,5,17
652,652,45,11
653,653,35,24
654,654,47,38
655,655,37,3
656,656,6,14
657,657,41,8
658,658,38,44
659,659,15,28
660,660,5,39
661,661,44,25
662,662,37,41
663,663,37,18
664,664,22,33
665,665,39,30
666,666,36,37
667,667,29,23
668,668,10,18
669,669,48,12
670,670,36,4
671,671,30,28
672,672,10,46
673,673,23,32
674,674,16,23
675,675,22,33
676,676,22,15
677,677,30,2
678,678,18,11
679,679,12,1
680,680,17,16
681,681,43,4
682,682,26,47
683,683,33,39
684,684,40,11
685,685,6,17
686,686,11,39
687,687,22,17
688,688,36,33
689,689,28,28
690,690,18,46
691,691,11,45
692,692,1,32
693,693,39,27
694,694,1,6
695,695,8,46
696,696,44,7
697,697,15,37
698,698,9,47
699,699,20,43
700,700,49,45
701,701,44,25
702,702,17,4
703,703,13,50
704,704,42,11
705,705,27,10
706,706,32,49
707,707,45,5
708,708,31,22
709,709,8,49
710,710,13,31
711,711,33,29
712,712,29,21
713,713,45,37
714,714,35,49
715,715,15,10
716,716,49,44
717,717,46,36
718,718,43,10
719,719,39,46
720,720,7,19
721,721,39,3
722,722,48,4
723,723,43,40
724,724,35,44
725,725,18,44
726,726,44,4
727,727,14,2
728,728,11,5
729,729,10,8
730,730,1,33
731,731,15,25
732,732,5,42
733,733,24,3
734,734,24,46
735,735,8,33
736,736,38,17
737,737,43,15
738,738,28,45
739,739,9,45
740,740,43,23
741,741,41,30
742,742,29,7
743,743,16,28
744,744,49,40
745,745,22,5
746,746,38,34
747,747,25,20
748,748,12,4
749,749,43,33
750,750,35,36
751,751,34,39
752,752,17,34
753,753,1,31
754,754,18,28
755,755,27,26
756,756,41,21
757,757,50,32
758,758,9,6
759,759,47,11
760,760,16,12
761,761,22,4
762,762,2,19
763,763,21,10
764,764,9,14
765,765,33,26
766,766,44,15
767,767,38,50
768,768,42,36
769,769,11,6
770,770,44,6
771,771,14,50
772,772,30,50
773,773,16,12
774,774,11,18
775,775,1,23
776,776,42,40
777,777,29,6
778,778,50,48
779,779,49,33
780,780,8,3
781,781,6,44
782,782,44,45
783,783,2,8
784,784,27,14
785,785,32,18
786,786,6,45
787,787,41,46
788,788,38,41
789,789,20,1
790,790,40,15
791,791,7,34
792,792,34,20
793,793,35,48
794,794,23,12
795,795,31,22
796,796,28,11
797,797,15,9
798,798,28,26
799,799,10,23
800,800,40,20
801,801,31,3
802,802,47,10
803,803,25,24
804,804,24,50
805,805,12,29
806,806,1,32
807,807,27,5
808,808,41,10
809,809,25,41
810,810,9,7
811,811,31,22
812,812,18,16
813,813,24,13
814,814,30,47
815,815,41,48
816,816,14,34
817,817,6,22
818,818,20,28
819,819,38,7
820,820,34,23
821,821,46,37
822,822,12,39
823,823,46,9
824,824,43,40
825,825,18,9
826,826,16,48
827,827,25,32
828,828,5,13
829,829,43,17
830,830,4,37
831,831,39,8
832,832,48,45
833,833,17,37
834,834,41,13
835,835,40,18
836,836,32,23
837,837,23,23
838,838,48,14
839,839,25,32
840,840,18,5
841,841,44,17
842,842,35,47
843,843,14,13
844,844,41,9
845,845,2,12
846,846,13,22
847,847,14,10
848,848,47,50
849,849,8,5
850,850,34,50
851,851,1,40
852,852,14,23
853,853,11,31
854,854,20,28
855,855,34,29
856,856,10,47
857,857,17,43
858,858,34,19
859,859,1,49
860,860,37,42
861,861,32,24
862,862,48,46
863,863,25,48
864,864,19,32
865,865,48,47
866,866,1,11
867,867,2,13
868,868,32,48
869,869,19,23
870,870,45,32
871,871,35,19
872,872,22,32
873,873,15,15
874,874,14,32
875,875,7,39
876,876,28,37
877,877,28,7
878,878,38,36
879,879,18,29
880,880,43,32
881,881,31,27
882,882,33,18
883,883,48,10
884,884,9,10
885,885,49,6
886,886,18,1
887,887,20,15
888,888,44,40
889,889,23,26
890,890,18,45
891,891,43,37
892,892,6,9
893,893,30,10
894,894,16,13
895,895,25,15
896,896,35,40
897,897,11,31
898,898,11,34
899,899,32,17
900,900,29,24
901,901,14,9
902,902,12,30
903,903,6,6
904,904,28,39
905,905,9,7
906,906,24,29
907,907,36,8
908,908,14,26
909,909,3,45
910,910,5,34
911,911,35,40
912,912,9,37
913,913,29,29
914,914,28,20
915,915,23,31
916,916,41,32
917,917,32,14
918,918,24,7
919,919,34,49
920,920,26,6
921,921,43,26
922,922,48,24
923,923,48,2
924,924,38,18
925,925,2,47
926,926,1,32
927,927,29,31
928,928,22,28
929,929,48,45
930,930,33,18
931,931,7,5
932,932,27,9
933,933,31,2
934,934,22,10
935,935,38,11
936,936,34,5
937,937,41,40
938,938,15,11
939,939,34,33
940,940,48,39
941,941,1,11
942,942,22,48
943,943,45,25
944,944,16,36
945,945,21,28
946,946,31,4
947,947,14,46
948,948,24,16
949,949,19,9
950,950,46,37
951,951,15,18
952,952,1,40
953,953,26,41
954,954,48,2
955,955,15,11
956,956,31,41
957,957,21,7
958,958,46,45
959,959,16,2
960,960,43,19
961,961,4,40
962,962,3,20
963,963,3,13
964,964,1,11
965,965,24,25
966,966,27,28
967,967,18,31
968,968,9,26
969,969,22,8
970,970,27,1
971,971,24,43
972,972,38,2
973,973,10,19
974,974,1,44
975,975,27,44
976,976,50,10
977,977,13,35
978,978,39,26
979,979,31,2
980,980,15,22
981,981,33,10
982,982,11,6
983,983,43,29
984,984,15,31
985,985,46,9
986,986,45,23
987,987,23,44
988,988,6,4
989,989,36,49
990,990,13,26
991,991,26,35
992,992,12,10
993,993,14,10
994,994,45,39
995,995,35,21
996,996,40,9
997,997,47,49
998,998,13,37
999,999,8,48
1000,1000,35,36
